scenario_id,scenario_title,route_type,actor_id,timestep,is_history,level,lon,lat,x_m,y_m,vx_mps,vy_mps,speed_mps
S1,Normal corridor route,normal_single_corridor,0,0,1,0,59.52750210146,36.31297666007,55.215874322155116,21.603079026321552,0.0,0.0,0.0
S1,Normal corridor route,normal_single_corridor,0,1,1,0,59.52754681063,36.31298884522,59.22634199244823,22.950025507138605,4.010467670293117,1.3469464808170528,4.230616474776666
S1,Normal corridor route,normal_single_corridor,0,2,1,0,59.52753825122,36.31300923709,58.45855236277368,25.204142817199084,-0.767789629674553,2.2541173100604794,2.381290776648261
S1,Normal corridor route,normal_single_corridor,0,3,1,0,59.52756986619,36.31301785352,61.29445414938313,26.15660298956442,2.8359017866094476,0.9524601723653348,2.991574722990696
S1,Normal corridor route,normal_single_corridor,0,4,1,0,59.5275801867,36.31299326599,62.22021662046295,23.43869742341255,0.9257624710798211,-2.7179055661518703,2.8712448205228225
S1,Normal corridor route,normal_single_corridor,0,5,1,0,59.52762266614,36.31300484345,66.03067476068898,24.71846985186417,3.8104581402260322,1.279772428451622,4.019627931418503
S1,Normal corridor route,normal_single_corridor,0,6,1,0,59.5275844031,36.31309600104,62.598432898879864,34.79502985036618,-3.4322418618091177,10.076559998502006,10.645062029005075
S1,Normal corridor route,normal_single_corridor,0,7,1,0,59.52761333786,36.31310388698,65.19391654387368,35.66674165802837,2.59548364499382,0.8717118076621944,2.7379585144863126
S1,Normal corridor route,normal_single_corridor,0,8,1,0,59.52764959478,36.31301750879,68.44620696908531,26.118496534862317,3.2522904252116263,-9.548245123166055,10.086940960568153
S1,Normal corridor route,normal_single_corridor,0,9,1,0,59.52774800856,36.31304433073,77.27404436852984,29.083393782919984,8.827837399444533,2.9648972480576674,9.312428729529774
S1,Normal corridor route,normal_single_corridor,0,10,1,0,59.5278544226,36.31307333306,86.81951495303281,32.28931134060758,9.545470584502965,3.2059175576875987,10.069454606198939
S1,Normal corridor route,normal_single_corridor,0,11,1,0,59.52784526946,36.31309513942,85.99846701033023,34.69978637534368,-0.8210479427025774,2.410475034736095,2.5464700307095924
S1,Normal corridor route,normal_single_corridor,0,12,1,0,59.52794986198,36.3131236453,95.38054500496636,37.85082635089054,9.382077994636134,3.1510399755468654,9.897092523813747
S1,Normal corridor route,normal_single_corridor,0,13,1,0,59.52795964842,36.31310033017,96.25840073885577,35.27357188059469,0.8778557338894046,-2.5772544702958555,2.7226588648199166
S1,Normal corridor route,normal_single_corridor,0,14,1,0,59.52803513264,36.31312090281,103.02942833636988,37.54767150585039,6.771027597514106,2.274099625255701,7.142712638198863
S1,Normal corridor route,normal_single_corridor,0,15,1,0,59.52802583118,36.31314306253,102.19507590697907,39.99720695507662,-0.8343524293908047,2.4495354492262322,2.5877341234072517
S1,Normal corridor route,normal_single_corridor,0,16,1,0,59.52805061439,36.313149817,104.41816039843246,40.743846068899074,2.223084491453392,0.7466391138224537,2.345117187355499
